[(0, 249), (0, 157), (0, 229), (0, 208), (0, 185)]
[(1, 247), (1, 159), (1, 228), (1, 207), (1, 185)]
[(2, 245), (2, 161), (2, 227), (2, 207), (2, 186)]
[(3, 243), (3, 163), (3, 226), (3, 207), (3, 187)]
[(4, 242), (4, 165), (4, 225), (4, 207), (4, 188)]
[(5, 240), (5, 167), (5, 224), (5, 207), (5, 189)]
[(6, 238), (6, 169), (6, 223), (6, 207), (6, 190)]
[(7, 237), (7, 171), (7, 222), (7, 207), (7, 191)]
[(8, 235), (8, 173), (8, 221), (8, 207), (8, 192)]
[(9, 233), (9, 175), (9, 220), (9, 207), (9, 192)]
[(10, 232), (10, 177), (10, 219), (10, 207), (10, 193)]
[(11, 230), (11, 179), (11, 219), (11, 207), (11, 194)]
[(12, 228), (12, 181), (12, 218), (12, 207), (12, 195)]
[(13, 226), (13, 183), (13, 217), (13, 207), (13, 196)]
[(14, 225), (14, 185), (14, 216), (14, 207), (14, 197)]
[(15, 223), (15, 187), (15, 215), (15, 207), (15, 198)]
[(16, 221), (16, 189), (16, 214), (16, 207), (16, 199)]
[(17, 220), (17, 191), (17, 213), (17, 206), (17, 199)]
[(18, 218), (18, 193), (18, 212), (18, 206), (18, 200)]
[(19, 216), (19, 195), (19, 211), (19, 206), (19, 201)]
[(20, 215), (20, 197), (20, 210), (20, 206), (20, 202)]
[(21, 213), (21, 199), (21, 210), (21, 206), (21, 203)]
[(22, 211), (22, 201), (22, 209), (22, 206), (22, 204)]
[(23, 209), (23, 203), (23, 208), (23, 206), (23, 205)]
[(24, 208), (24, 205), (24, 207), (24, 206), (24, 206)]
[(25, 206), (25, 207), (25, 206), (25, 206), (25, 207)]
[(26, 204), (26, 209), (26, 205), (26, 206), (26, 207)]
[(27, 203), (27, 211), (27, 204), (27, 206), (27, 208)]
[(28, 201), (28, 213), (28, 203), (28, 206), (28, 209)]
[(29, 199), (29, 215), (29, 202), (29, 206), (29, 210)]
[(30, 198), (30, 217), (30, 201), (30, 206), (30, 211)]
[(31, 196), (31, 219), (31, 201), (31, 206), (31, 212)]
[(32, 194), (32, 221), (32, 200), (32, 206), (32, 213)]
[(33, 192), (33, 223), (33, 199), (33, 206), (33, 214)]
[(34, 191), (34, 225), (34, 198), (34, 205), (34, 214)]
[(35, 189), (35, 227), (35, 197), (35, 205), (35, 215)]
[(36, 187), (36, 229), (36, 196), (36, 205), (36, 216)]
[(37, 186), (37, 231), (37, 195), (37, 205), (37, 217)]
[(38, 184), (38, 233), (38, 194), (38, 205), (38, 218)]
[(39, 182), (39, 235), (39, 193), (39, 205), (39, 219)]
[(40, 181), (40, 237), (40, 192), (40, 205), (40, 220)]
[(41, 179), (41, 239), (41, 191), (41, 205), (41, 221)]
[(42, 177), (42, 241), (42, 191), (42, 205), (42, 222)]
[(43, 176), (43, 243), (43, 190), (43, 205), (43, 222)]
[(44, 174), (44, 245), (44, 189), (44, 205), (44, 223)]
[(45, 172), (45, 247), (45, 188), (45, 205), (45, 224)]
[(46, 170), (46, 249), (46, 187), (46, 205), (46, 225)]
[(47, 169), (47, 251), (47, 186), (47, 205), (47, 226)]
[(48, 167), (48, 253), (48, 185), (48, 205), (48, 227)]
[(49, 165), (49, 255), (49, 184), (49, 205), (49, 228)]
[(50, 164), (50, 257), (50, 183), (50, 205), (50, 229)]
[(51, 162), (51, 259), (51, 182), (51, 204), (51, 229)]
[(52, 160), (52, 261), (52, 182), (52, 204), (52, 230)]
[(53, 159), (53, 263), (53, 181), (53, 204), (53, 231)]
[(54, 157), (54, 265), (54, 180), (54, 204), (54, 232)]
[(55, 155), (55, 267), (55, 179), (55, 204), (55, 233)]
[(56, 153), (56, 269), (56, 178), (56, 204), (56, 234)]
[(57, 152), (57, 271), (57, 177), (57, 204), (57, 235)]
[(58, 150), (58, 273), (58, 176), (58, 204), (58, 236)]
[(59, 148), (59, 275), (59, 175), (59, 204), (59, 236)]
[(60, 147), (60, 277), (60, 174), (60, 204), (60, 237)]
[(61, 145), (61, 279), (61, 173), (61, 204), (61, 238)]
[(62, 143), (62, 281), (62, 173), (62, 204), (62, 239)]
[(63, 142), (63, 283), (63, 172), (63, 204), (63, 240)]
[(64, 140), (64, 285), (64, 171), (64, 204), (64, 241)]
[(65, 138), (65, 287), (65, 170), (65, 204), (65, 242)]
[(66, 136), (66, 289), (66, 169), (66, 204), (66, 243)]
[(67, 135), (67, 291), (67, 168), (67, 204), (67, 244)]
[(68, 133), (68, 293), (68, 167), (68, 203), (68, 244)]
[(69, 131), (69, 295), (69, 166), (69, 203), (69, 245)]
[(70, 130), (70, 297), (70, 165), (70, 203), (70, 246)]
[(71, 128), (71, 299), (71, 164), (71, 203), (71, 247)]
[(72, 126), (72, 301), (72, 164), (72, 203), (72, 248)]
[(73, 125), (73, 303), (73, 163), (73, 203), (73, 249)]
[(74, 123), (74, 305), (74, 162), (74, 203), (74, 250)]
[(75, 121), (75, 307), (75, 161), (75, 203), (75, 251)]
[(76, 120), (76, 309), (76, 160), (76, 203), (76, 251)]
[(77, 118), (77, 311), (77, 159), (77, 203), (77, 252)]
[(78, 116), (78, 313), (78, 158), (78, 203), (78, 253)]
[(79, 114), (79, 315), (79, 157), (79, 203), (79, 254)]
[(80, 113), (80, 317), (80, 156), (80, 203), (80, 255)]
[(81, 111), (81, 319), (81, 155), (81, 203), (81, 256)]
[(82, 109), (82, 321), (82, 154), (82, 203), (82, 257)]
[(83, 108), (83, 323), (83, 154), (83, 203), (83, 258)]
[(84, 106), (84, 325), (84, 153), (84, 203), (84, 259)]
[(85, 104), (85, 327), (85, 152), (85, 202), (85, 259)]
[(86, 103), (86, 329), (86, 151), (86, 202), (86, 260)]
[(87, 101), (87, 331), (87, 150), (87, 202), (87, 261)]
[(88, 99), (88, 333), (88, 149), (88, 202), (88, 262)]
[(89, 97), (89, 335), (89, 148), (89, 202), (89, 263)]
[(90, 96), (90, 337), (90, 147), (90, 202), (90, 264)]
[(91, 94), (91, 339), (91, 146), (91, 202), (91, 265)]
[(92, 92), (92, 341), (92, 145), (92, 202), (92, 266)]
[(93, 91), (93, 344), (93, 145), (93, 202), (93, 266)]
[(94, 89), (94, 346), (94, 144), (94, 202), (94, 267)]
[(95, 87), (95, 348), (95, 143), (95, 202), (95, 268)]
[(96, 86), (96, 350), (96, 142), (96, 202), (96, 269)]
[(97, 84), (97, 352), (97, 141), (97, 202), (97, 270)]
[(98, 82), (98, 354), (98, 140), (98, 202), (98, 271)]
[(99, 80), (99, 356), (99, 139), (99, 202), (99, 272)]
[(100, 79), (100, 358), (100, 138), (100, 202), (100, 273)]
[(101, 77), (101, 360), (101, 137), (101, 201), (101, 273)]
[(102, 75), (102, 362), (102, 136), (102, 201), (102, 274)]
[(103, 74), (103, 364), (103, 136), (103, 201), (103, 275)]
[(104, 72), (104, 366), (104, 135), (104, 201), (104, 276)]
[(105, 70), (105, 368), (105, 134), (105, 201), (105, 277)]
[(106, 69), (106, 370), (106, 133), (106, 201), (106, 278)]
[(107, 67), (107, 372), (107, 132), (107, 201), (107, 279)]
[(108, 65), (108, 374), (108, 131), (108, 201), (108, 280)]
[(109, 63), (109, 376), (109, 130), (109, 201), (109, 281)]
[(110, 62), (110, 378), (110, 129), (110, 201), (110, 281)]
[(111, 60), (111, 380), (111, 128), (111, 201), (111, 282)]
[(112, 58), (112, 382), (112, 127), (112, 201), (112, 283)]
[(113, 57), (113, 384), (113, 126), (113, 201), (113, 284)]
[(114, 55), (114, 386), (114, 126), (114, 201), (114, 285)]
[(115, 53), (115, 388), (115, 125), (115, 201), (115, 286)]
[(116, 52), (116, 390), (116, 124), (116, 201), (116, 287)]
[(117, 50), (117, 392), (117, 123), (117, 201), (117, 288)]
[(118, 48), (118, 394), (118, 122), (118, 200), (118, 288)]
[(119, 47), (119, 396), (119, 121), (119, 200), (119, 289)]
[(120, 45), (120, 398), (120, 120), (120, 200), (120, 290)]
[(121, 43), (121, 400), (121, 119), (121, 200), (121, 291)]
[(122, 41), (122, 402), (122, 118), (122, 200), (122, 292)]
[(123, 40), (123, 404), (123, 117), (123, 200), (123, 293)]
[(124, 38), (124, 406), (124, 117), (124, 200), (124, 294)]
[(125, 36), (125, 408), (125, 116), (125, 200), (125, 295)]
[(126, 35), (126, 410), (126, 115), (126, 200), (126, 296)]
[(127, 33), (127, 412), (127, 114), (127, 200), (127, 296)]
[(128, 31), (128, 414), (128, 113), (128, 200), (128, 297)]
[(129, 30), (129, 416), (129, 112), (129, 200), (129, 298)]
[(130, 28), (130, 418), (130, 111), (130, 200), (130, 299)]
[(131, 26), (131, 420), (131, 110), (131, 200), (131, 300)]
[(132, 24), (132, 422), (132, 109), (132, 200), (132, 301)]
