[(0, 109), (0, 196), (0, 155)]
[(1, 108), (1, 196), (1, 155)]
[(2, 108), (2, 196), (2, 155)]
[(3, 108), (3, 196), (3, 155)]
[(4, 107), (4, 197), (4, 155)]
[(5, 107), (5, 197), (5, 155)]
[(6, 107), (6, 197), (6, 155)]
[(7, 106), (7, 198), (7, 155)]
[(8, 106), (8, 198), (8, 155)]
[(9, 106), (9, 198), (9, 155)]
[(10, 106), (10, 198), (10, 155)]
[(11, 105), (11, 199), (11, 155)]
[(12, 105), (12, 199), (12, 155)]
[(13, 105), (13, 199), (13, 155)]
[(14, 104), (14, 200), (14, 155)]
[(15, 104), (15, 200), (15, 155)]
[(16, 104), (16, 200), (16, 155)]
[(17, 104), (17, 200), (17, 155)]
[(18, 103), (18, 201), (18, 155)]
[(19, 103), (19, 201), (19, 155)]
[(20, 103), (20, 201), (20, 155)]
[(21, 102), (21, 202), (21, 155)]
[(22, 102), (22, 202), (22, 155)]
[(23, 102), (23, 202), (23, 155)]
[(24, 102), (24, 203), (24, 155)]
[(25, 101), (25, 203), (25, 155)]
[(26, 101), (26, 203), (26, 155)]
[(27, 101), (27, 203), (27, 155)]
[(28, 100), (28, 204), (28, 155)]
[(29, 100), (29, 204), (29, 155)]
[(30, 100), (30, 204), (30, 155)]
[(31, 99), (31, 205), (31, 155)]
[(32, 99), (32, 205), (32, 155)]
[(33, 99), (33, 205), (33, 155)]
[(34, 99), (34, 205), (34, 155)]
[(35, 98), (35, 206), (35, 155)]
[(36, 98), (36, 206), (36, 155)]
[(37, 98), (37, 206), (37, 155)]
[(38, 97), (38, 207), (38, 155)]
[(39, 97), (39, 207), (39, 155)]
[(40, 97), (40, 207), (40, 155)]
[(41, 97), (41, 207), (41, 155)]
[(42, 96), (42, 208), (42, 155)]
[(43, 96), (43, 208), (43, 155)]
[(44, 96), (44, 208), (44, 155)]
[(45, 95), (45, 209), (45, 155)]
[(46, 95), (46, 209), (46, 155)]
[(47, 95), (47, 209), (47, 155)]
[(48, 95), (48, 210), (48, 156)]
[(49, 94), (49, 210), (49, 156)]
[(50, 94), (50, 210), (50, 156)]
[(51, 94), (51, 210), (51, 156)]
[(52, 93), (52, 211), (52, 156)]
[(53, 93), (53, 211), (53, 156)]
[(54, 93), (54, 211), (54, 156)]
[(55, 92), (55, 212), (55, 156)]
[(56, 92), (56, 212), (56, 156)]
[(57, 92), (57, 212), (57, 156)]
[(58, 92), (58, 212), (58, 156)]
[(59, 91), (59, 213), (59, 156)]
[(60, 91), (60, 213), (60, 156)]
[(61, 91), (61, 213), (61, 156)]
[(62, 90), (62, 214), (62, 156)]
[(63, 90), (63, 214), (63, 156)]
[(64, 90), (64, 214), (64, 156)]
[(65, 90), (65, 214), (65, 156)]
[(66, 89), (66, 215), (66, 156)]
[(67, 89), (67, 215), (67, 156)]
[(68, 89), (68, 215), (68, 156)]
[(69, 88), (69, 216), (69, 156)]
[(70, 88), (70, 216), (70, 156)]
[(71, 88), (71, 216), (71, 156)]
[(72, 88), (72, 217), (72, 156)]
[(73, 87), (73, 217), (73, 156)]
[(74, 87), (74, 217), (74, 156)]
[(75, 87), (75, 217), (75, 156)]
[(76, 86), (76, 218), (76, 156)]
[(77, 86), (77, 218), (77, 156)]
[(78, 86), (78, 218), (78, 156)]
[(79, 85), (79, 219), (79, 156)]
[(80, 85), (80, 219), (80, 156)]
[(81, 85), (81, 219), (81, 156)]
[(82, 85), (82, 219), (82, 156)]
[(83, 84), (83, 220), (83, 156)]
[(84, 84), (84, 220), (84, 156)]
[(85, 84), (85, 220), (85, 156)]
[(86, 83), (86, 221), (86, 156)]
[(87, 83), (87, 221), (87, 156)]
[(88, 83), (88, 221), (88, 156)]
[(89, 83), (89, 221), (89, 156)]
[(90, 82), (90, 222), (90, 156)]
[(91, 82), (91, 222), (91, 156)]
[(92, 82), (92, 222), (92, 156)]
[(93, 81), (93, 223), (93, 156)]
[(94, 81), (94, 223), (94, 156)]
[(95, 81), (95, 223), (95, 156)]
[(96, 81), (96, 224), (96, 157)]
[(97, 80), (97, 224), (97, 157)]
[(98, 80), (98, 224), (98, 157)]
[(99, 80), (99, 224), (99, 157)]
[(100, 79), (100, 225), (100, 157)]
[(101, 79), (101, 225), (101, 157)]
[(102, 79), (102, 225), (102, 157)]
[(103, 78), (103, 226), (103, 157)]
[(104, 78), (104, 226), (104, 157)]
[(105, 78), (105, 226), (105, 157)]
[(106, 78), (106, 226), (106, 157)]
[(107, 77), (107, 227), (107, 157)]
[(108, 77), (108, 227), (108, 157)]
[(109, 77), (109, 227), (109, 157)]
[(110, 76), (110, 228), (110, 157)]
[(111, 76), (111, 228), (111, 157)]
[(112, 76), (112, 228), (112, 157)]
[(113, 76), (113, 228), (113, 157)]
[(114, 75), (114, 229), (114, 157)]
[(115, 75), (115, 229), (115, 157)]
[(116, 75), (116, 229), (116, 157)]
[(117, 74), (117, 230), (117, 157)]
[(118, 74), (118, 230), (118, 157)]
[(119, 74), (119, 230), (119, 157)]
[(120, 74), (120, 231), (120, 157)]
[(121, 73), (121, 231), (121, 157)]
[(122, 73), (122, 231), (122, 157)]
[(123, 73), (123, 231), (123, 157)]
[(124, 72), (124, 232), (124, 157)]
[(125, 72), (125, 232), (125, 157)]
[(126, 72), (126, 232), (126, 157)]
[(127, 71), (127, 233), (127, 157)]
[(128, 71), (128, 233), (128, 157)]
[(129, 71), (129, 233), (129, 157)]
[(130, 71), (130, 233), (130, 157)]
[(131, 70), (131, 234), (131, 157)]
[(132, 70), (132, 234), (132, 157)]
[(133, 70), (133, 234), (133, 157)]
[(134, 69), (134, 235), (134, 157)]
[(135, 69), (135, 235), (135, 157)]
[(136, 69), (136, 235), (136, 157)]
[(137, 69), (137, 235), (137, 157)]
[(138, 68), (138, 236), (138, 157)]
[(139, 68), (139, 236), (139, 157)]
[(140, 68), (140, 236), (140, 157)]
[(141, 67), (141, 237), (141, 157)]
[(142, 67), (142, 237), (142, 157)]
[(143, 67), (143, 237), (143, 157)]
[(144, 67), (144, 238), (144, 158)]
[(145, 66), (145, 238), (145, 158)]
[(146, 66), (146, 238), (146, 158)]
[(147, 66), (147, 238), (147, 158)]
[(148, 65), (148, 239), (148, 158)]
[(149, 65), (149, 239), (149, 158)]
[(150, 65), (150, 239), (150, 158)]
[(151, 64), (151, 240), (151, 158)]
[(152, 64), (152, 240), (152, 158)]
[(153, 64), (153, 240), (153, 158)]
[(154, 64), (154, 240), (154, 158)]
[(155, 63), (155, 241), (155, 158)]
[(156, 63), (156, 241), (156, 158)]
[(157, 63), (157, 241), (157, 158)]
[(158, 62), (158, 242), (158, 158)]
[(159, 62), (159, 242), (159, 158)]
[(160, 62), (160, 242), (160, 158)]
[(161, 62), (161, 242), (161, 158)]
[(162, 61), (162, 243), (162, 158)]
[(163, 61), (163, 243), (163, 158)]
[(164, 61), (164, 243), (164, 158)]
[(165, 60), (165, 244), (165, 158)]
[(166, 60), (166, 244), (166, 158)]
[(167, 60), (167, 244), (167, 158)]
[(168, 60), (168, 245), (168, 158)]
[(169, 59), (169, 245), (169, 158)]
[(170, 59), (170, 245), (170, 158)]
[(171, 59), (171, 245), (171, 158)]
[(172, 58), (172, 246), (172, 158)]
[(173, 58), (173, 246), (173, 158)]
[(174, 58), (174, 246), (174, 158)]
[(175, 57), (175, 247), (175, 158)]
[(176, 57), (176, 247), (176, 158)]
[(177, 57), (177, 247), (177, 158)]
[(178, 57), (178, 247), (178, 158)]
[(179, 56), (179, 248), (179, 158)]
[(180, 56), (180, 248), (180, 158)]
[(181, 56), (181, 248), (181, 158)]
[(182, 55), (182, 249), (182, 158)]
[(183, 55), (183, 249), (183, 158)]
[(184, 55), (184, 249), (184, 158)]
[(185, 55), (185, 249), (185, 158)]
[(186, 54), (186, 250), (186, 158)]
[(187, 54), (187, 250), (187, 158)]
[(188, 54), (188, 250), (188, 158)]
[(189, 53), (189, 251), (189, 158)]
[(190, 53), (190, 251), (190, 158)]
[(191, 53), (191, 251), (191, 158)]
[(192, 53), (192, 252), (192, 159)]
